"""WIKI"" 'URL'","""SERIES"" 'OBJECT'","""BOOK"" 'OBJECT'","""CHAPTER"" 'OBJECT'","""TITLE""","""DESCRIPTION""","""SOURCE"" 'URL'","""PDF"" 'URL'","""DOI"" 'String'","""OPENALEX"" 'String'","""TAGLIST"" 'String'","""LICENSE"" 'String'","""DATE"" 'String'"
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-7,2,1,17,"Health, Wellbeing and the Changing Structure of Communities","Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-7/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter07.pdf,10.1017/9781009325844.009,W4382361937,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-8,2,1,18,"Poverty, Livelihoods and Sustainable Development","Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-8/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter08.pdf,10.1017/9781009325844.010,W2991859140,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-9,2,1,19,Africa,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-9/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter09.pdf,10.1017/9781009325844.011,W4382361932,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-10,2,1,20,Asia,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-10/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter10.pdf,10.1017/9781009325844.012,W4382362799,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-11,2,1,21,Australasia,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-11/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter11.pdf,10.1017/9781009325844.013,W4382363397,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-12,2,1,22,Central and South America,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-12/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter12.pdf,10.1017/9781009325844.014,W3109144505,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-13,2,1,23,Europe,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-13/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter13.pdf,10.1017/9781009325844.015,W4382363568,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-14,2,1,24,North America,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-14/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter14.pdf,10.1017/9781009325844.016,W4382363059,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-15,2,1,25,Small Islands,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-15/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter15.pdf,10.1017/9781009325844.017,W4382363037,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
,2,2,10,Cross-Chapter Papers,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",,,,,,,
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Ccp1,2,2,11,Biodiversity Hotspots,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/ccp1/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP1.pdf,10.1017/9781009325844.018,W4382363636,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Ccp2,2,2,12,Cities and Settlements by the Sea,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/ccp2/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP2.pdf,10.1017/9781009325844.019,W4382361936,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Ccp3,2,2,13,"Deserts, Semiarid Areas and Desertification","Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/ccp3/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP3.pdf,10.1017/9781009325844.020,W4382363669,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Ccp4,2,2,14,Mediterranean Region,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/ccp4/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP4.pdf,10.1017/9781009325844.021,W4382363683,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Ccp5,2,2,15,Mountains,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/ccp5/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP5.pdf,10.1017/9781009325844.022,W4382363207,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Ccp6,2,2,16,Polar Regions,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/ccp6/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP6.pdf,10.1017/9781009325844.023,W4382361926,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Ccp7,2,2,17,Tropical Forests,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/ccp7/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP7.pdf,10.1017/9781009325844.024,W4382361947,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-16,2,1,26,Key Risks across Sectors and Regions,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-16/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter16.pdf,10.1017/9781009325844.025,W4382362903,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-17,2,1,27,Decision-Making Options for Managing Risk,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-17/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter17.pdf,10.1017/9781009325844.026,W4382363544,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-18,2,1,28,Climate Resilient Development Pathways,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-18/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter18.pdf,10.1017/9781009325844.027,W4382361919,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
