"Report","Acronym","Description"
"SR1.5; SRCCL; WGII; WGIII","CDM","Clean Development Mechanism"
"SR1.5; SRCCL","CDP","Carbon Disclosure Project"
"SR1.5; SRCCL; SROCC; SYR; WGI; WGII; WGIII","CDR","Carbon Dioxide Removal; carbon dioxide removal"
"SR1.5; SRCCL; WGIII","CEA","Cost-Effectiveness Analysis; Cost Effectiveness Analysis; cost-effectiveness analysis"
"SR1.5; SRCCL","CEC","Clean Energy Council; Commission of the European Communities"
"SR1.5; WGI; WGIII","CEDS","Community Emissions Data System"
"SR1.5","CEMICS","Contextualizing Climate Engineering and Mitigation: Illusion, Complement or Substitute?"
"SR1.5; WGII","CES","Constant Elasticity of Substitution; Cultural Ecosystem Services / Circulating and Ecological Sphere"
"SR1.5; WGI","CESM","Community Earth System Model"
"SR1.5","CEU","Central Europe"
"SR1.5; WGI; WGIII","CFCs","Chlorofluorocarbons; chlorofluorocarbons"
"SR1.5","CGCM","Coupled Global Climate Model"
"SR1.5; WGII; WGIII","CGE","Computable General Equilibrium"
"SR1.5","CGI","Canada/Greenland/Iceland"
"SR1.5; WGII","CGIAR","Consultative Group on International Agricultural Research"
"SR1.5; SRCCL; SYR; WGI; WGIII","CH4","Methane; methane"
"SR1.5; SRCCL; WGIII","CHP","Combined Heat and Power; combined heat and power"
"SR1.5; SRCCL","CI","Confidence Interval"
"SR1.5","CIRED","Centre International de Recherche sur l'Environnement et le Développement"
"SR1.5","CISL","Cambridge Institute for Sustainability Leadership"
"SR1.5","CLM","Climate Limited-area Modelling"
"SR1.5","CMAQ","Community Multiscale Air Quality Modeling System"
"SR1.5; SROCC; WGI; WGII","CMIP3","Coupled Model Intercomparison Project Phase 3"
"SR1.5; SRCCL; SROCC; SYR; WGI; WGII","CMIP5","Coupled Model Intercomparison Project Phase 5"
"SR1.5; SRCCL; SROCC; SYR; WGI; WGII; WGIII","CMIP6","Coupled Model Intercomparison Project Phase 6"
"SR1.5; WGI","CNA","Central North America"
"SR1.5; WGI","CNRM","Centre National de Recherches Météorologiques; Centre National de la Recherche Météorologique"
"SR1.5; SRCCL; WGI; WGIII","CO","Carbon monoxide; carbon monoxide"
"SR1.5; SRCCL; SYR; WGI; WGIII","CO2","Carbon dioxide; Carbon Dioxide; carbon dioxide"
"SR1.5; SRCCL","CO2e","Carbon dioxide equivalent"
"SR1.5; SRCCL","CO2eq","Carbon dioxide equivalent"
"SR1.5","CoM","Covenant of Mayors"
"SR1.5; SRCCL; SROCC; WGII; WGIII","COP","Conference of the Parties; Conference of Parties; coefficient of performance; Conference of the Parties to the UNFCCC"
"SR1.5","COPPE-COFFEE","Programa de Planejamento Energético – COmputable Framework For Energy and the Environment"
"SR1.5; WGI; WGII","CORDEX","Coordinated Regional Climate Downscaling Experiment"
"SR1.5; WGI","COSMO","Consortium for Small-scale Modeling"
"SR1.5; SRCCL","CRCM","Canadian Regional Climate Model"
"SR1.5","CRDPs","Climate-Resilient Development Pathways"
"SR1.5","CRIEPI","Institut Central de Recherche des Industries Électriques"
"SR1.5; SRCCL","CRISPR","Clustered Regularly Interspaced Short Palindromic Repeats"
"SR1.5","C-ROADS","Climate Rapid Overview And Decision-support Simulator"
"SR1.5; SRCCL; WGI","CRU","Climatic Research Unit; Climatic Research Unit of the University of East Anglia; Climate Research Unit"
"SR1.5; SRCCL; WGII","CSA","Climate-Smart Agriculture; Climate Smart Agriculture; Central and South American / Climate-Smart Agriculture"
"SR1.5; WGIII","CSC","Climate Service Center Germany; climate-smart cocoa"
"SR1.5","CSDI","Cold Spell Duration Index"
"SR1.5; WGI; WGII","CSIRO","Commonwealth Scientific and Industrial Research Organisation; Commonwealth Scientific Industrial and Research Organisation"
"SR1.5; WGIII","CSP","Concentrated Solar Power; concentrating solar power"
"SR1.5; WGII; WGIII","CSR","Corporate Social Responsibility; Climatically Suitable Region; corporate social responsibility"
"SR1.5","CTC","Covenant Territorial Coordinator"
"SR1.5","CWD","Consecutive Wet Days"
"SR1.5; SYR; WGI; WGII; WGIII","DACCS","Direct Air Carbon dioxide Capture and Storage; Direct Air Carbon Capture and Storage; direct air carbon capture with carbon storage; direct air carbon capture and storage"
"SR1.5","DACS","Direct Air Capture and Storage"
"SR1.5; SRCCL; WGII; WGIII","DALY","Disability Adjusted Life Year; Disability-Adjusted Life-Year; Disability-Adjusted Life Year; disability adjusted life year"
"SR1.5","DICE","Dynamic Integrated Climate-Economy model"
"SR1.5; SRCCL; SROCC; WGI","DJF","December, January, February; December-January-February; December–January–February"
"SR1.5","DM8H","Daily Maximum 8-Hour exposure"
"SR1.5","DNE21+","Dynamic New Earth 21 model"
"SR1.5","DOE","Department of Energy (USA)"
"SR1.5; WGIII","DRI","Direct Reduced Iron; direct reduced iron"
"SR1.5; SRCCL; SROCC; SYR; WGII","DRM","Disaster Risk Management"
"SR1.5","DTU","Technical University of Denmark"
"SR1.5; WGII","E","Equilibrium, Evaporation or Evapotranspiration; Exposure"
"SR1.5; WGIII","EAF","East Africa; electric arc furnace"
"SR1.5; SROCC; WGI; WGII","EAIS","East Antarctic Ice Sheet"
"SR1.5; WGI","EAS","East Asia"
"SR1.5; SRCCL; SROCC; SYR; WGII","EbA","Ecosystems-based Adaptation; Ecosystem Based Adaptation; Ecosystem-based Adaptation; Ecosystem-Based Adaptation"
"SR1.5; SRCCL; WGII","EC","European Commission; Elemental Carbon or European Commission; End-Century"
"SR1.5","ECF","European Climate Foundation"
"SR1.5; SROCC; WGI","ECMWF","European Centre for Medium-Range Weather Forecasts"
"SR1.5; SYR; WGI; WGII","ECS","Equilibrium Climate Sensitivity; Equilibrium climate sensitivity; equilibrium climate sensitivity"
"SR1.5; SRCCL; WGIII","EDGAR","Emission Database for Global Atmospheric Research; Emissions Database for Global Atmospheric Research"
"SR1.5; SRCCL; WGII; WGIII","EEA","European Environment Agency; Eastern Europe and West Central Asia"
"SR1.5","EGMAM","ECHO-G Middle Atmosphere Model"
"SR1.5","E-HYPE","European Hydrological Predictions for the Environment"
"SR1.5; WGIII","EJ","Exajoules; exajoule"
"SR1.5","EMEP","European Monitoring and Evaluation Programme"
"SR1.5","EMF","Energy Modeling Forum"
"SR1.5; WGI","EMIC","Earth-system Model of Intermediate Complexity; Earth models of intermediate complexity"
"SR1.5; WGI","ENA","East North America; Eastern North America"
"SR1.5; SRCCL; SROCC; WGI; WGII","ENSO","El Niño-Southern Oscillation; El Niño/Southern Oscillation; El Niño–Southern Oscillation"
"SR1.5","EOR","Enhanced Oil Recovery"
"SR1.5; SRCCL; WGI","EPA","Environmental Protection Agency (USA); UN Environmental Protection Agency; USA Environmental Protection Agency"
"SR1.5","EPIs","Energy-Intensive Processing Industries"
"SR1.5","ERA","ECMWF ReAnalysis"
"SR1.5; WGI; WGIII","ERF","Effective Radiative Forcing; effective radiative forcing"
"SR1.5; WGI","ERFaci","Effective Radiative Forcing from aerosol-cloud interactions; effective radiative forcing due to aerosol–cloud interactions"
"SR1.5; WGI","ERFari","Effective Radiative Forcing from aerosol-radiation interactions; effective radiative forcing due to aerosol–radiation interactions"
"SR1.5","ESCOs","Energy Service Companies"
"SR1.5; SRCCL; SROCC; WGI; WGII","ESL","Extreme Sea Level; extreme sea level"
"SR1.5; SRCCL; SROCC; WGI; WGII; WGIII","ESM","Earth System Model; Earth System Models; Earth system model; energy systems model"
"SR1.5","ESR","Empirical Scaling Relationship"
"SR1.5","ESRB ASC","European Systemic Risk Board Advisory Scientific Committee"
"SR1.5; WGI","ESRL","NOAA Earth System Research Laboratory"
"SR1.5","Eta-CPTEC","Eta Centro de Previsão do Tempo e Estudos Climáticos"
"SR1.5; WGIII","ETP","Pacific Islands region [3] or Energy Technology Perspectives model; Energy Technology Perspectives (IEA report)"
"SR1.5; SRCCL; WGIII","ETS","Emission Trading Scheme; Emissions Trading Scheme; Emissions Trading System"
"SR1.5; SRCCL; WGI; WGII; WGIII","EU","European Union"
"SR1.5","EU-FP6","European Union Sixth Framework Programme"
"SR1.5","EUG4","France, Germany, Italy, United Kingdom"
"SR1.5","EURO-CORDEX","European branch of the Coordinated Regional Climate Downscaling Experiment"
"SR1.5; SYR; WGII; WGIII","EV","Electric Vehicle; electric vehicle"
"SR1.5; WGII; WGIII","EW","Enhanced Weathering; enhanced weathering"
"SR1.5; SYR; WGI; WGIII","FAIR","Finite Amplitude Impulse Response model; Finite Amplitude Impulse Response simple climate model; Findable, Accessible, Interoperable and Reusable principles; Finite Amplitude Impulse Response"
"SR1.5; SRCCL; SYR; WGII; WGIII","FAO","Food and Agriculture Organization of the United Nations; United Nations Food and Agricultural Organisation; Food and Agriculture Organization"
"SR1.5; SRCCL","FAOSTAT","Database Collection of the Food and Agriculture Organization of the United Nations; FAO Database"
"SR1.5; SRCCL; WGII; WGIII","FAQ","Frequently Asked Questions; frequently asked question"
"SR1.5","FARM","Future Agricultural Resources Model"
"SR1.5; SRCCL","Fe","Iron; Final Energy"
"SR1.5; WGII","FEMA","Federal Emergency Management Agency (USA); Federal Emergency Management Agency"
"SR1.5; SRCCL","FF","Fossil Fuel"
"SR1.5","FF&I","Fossil-Fuel combustion and Industrial processes"
"SR1.5; WGIII","F-gas","Fluorinated gases; fluorinated gas"
"SR1.5","FGOALS","Flexible Global Ocean-Atmosphere-Land System model"
"SR1.5","FIO","First Institute of Oceanography"
"SR1.5","FMNR","Farmer Managed Natural Regeneration"
"SR1.5","FUND","Climate Framework for Uncertainty, Negotiation, and Distribution model"
"SR1.5","FUSSR","Former Union of Soviet Socialist Republics"
"SR1.5","g","Grams"
"SR1.5","GAMS","General Algebraic Modeling System"
"SR1.5; WGII; WGIII","GBAM","Ground-Based Albedo Modification; ground-based albedo modifications"
"SR1.5; WGIII","GCAM","Global Change Assessment Model"
"SR1.5","GCC","Gulf Cooperative Council"
"SR1.5","GCEC","Global Commission on the Economy and Climate"
"SR1.5; SRCCL; SROCC; WGI; WGII","GCM","General Circulation Model or Global Climate Model; Global Climate Model or General Circulation Model; General Circulation Model/Global Climate Model; general circulation model or global climate model; General Circulation Model / Global Climate Model"
"SR1.5; SRCCL; WGI; WGIII","GCP","Global Carbon Project"
"SR1.5; SRCCL; SROCC; SYR; WGI; WGII; WGIII","GDP","Gross Domestic Product; gross domestic product"
"SR1.5; SRCCL","GE","General Equilibrium; Government Effectiveness or General Equilibrium"
"SR1.5; WGIII","GEA","Global Energy Assessment"
"SR1.5","GEM-E3","General Equilibrium Model for Economy - Energy - Environment"
"SR1.5","GENeSYS-MOD","Global Energy System Model"
"SR1.5","GeSI","Global e-Sustainability Initiative"
"SR1.5; WGIII","GFCF","Gross Fixed Capital Formation; Gross-fixed capital formation"
"SR1.5; WGI","GFDL","Geophysical Fluid Dynamic Laboratory; NOAA Geophysical Fluid Dynamics Laboratory"
"SR1.5","GFR","Grid Flexibility Resources"
"SR1.5; SRCCL; WGII","Gha","Gigahectares; Greater Horn of Africa"
"SR1.5","GHCNDEX","Global Historical Climatology Network – Daily climate Extremes"
"SR1.5","GHGs","Greenhouse Gases"
"SR1.5; WGI; WGII","GHM","Global Hydrological Models; global hydrological model; Global Hydrological Model"
"SR1.5; SROCC; WGII; WGIII","GIS","Greenland Ice Sheet; Geographic Information System; geographic information system / global innovation system"
"SR1.5; WGI","GISS","Goddard Institute for Space Studies; NASA Goddard Institute for Space Studies"
"SR1.5; SRCCL; WGI","GISTEMP","Goddard Institute for Space Studies Surface Temperature Analysis; Goddard's Global Surface Temperature Analysis; NASA Goddard Institute for Space Studies Surface Temperature Analysis"
"SR1.5; SRCCL; WGIII","GJ","Gigajoules; gigajoule"
"SR1.5","GLEAM","Global Livestock Environmental Assessment Model"
"SR1.5","Glob-HM","Global Hydrological Model"
"SR1.5; SRCCL","GLOBIOM","GLObal BIOsphere Management model"
"SR1.5","GLOFs","Glacial Lake Outburst Floods"
"SR1.5; SRCCL; WGI; WGII","GM","Genetically Modified; Global monsoon; Genetically Modified / Global Monsoon"
"SR1.5; SRCCL","GMO","Genetically Modified Organism"
"SR1.5; SRCCL; SROCC; WGI; WGII","GMSL","Global Mean Sea Level; global mean sea level"
"SR1.5; SRCCL; SROCC; WGI; WGII","GMST","Global Mean Surface Temperature; global mean surface temperature"
"SR1.5; SRCCL; WGII","GMT","Global Mean Temperature"
"SR1.5","GNHI","Gross National Happiness Index"
"SR1.5; SRCCL; SROCC; WGII; WGIII","GPP","Gross Primary Productivity; Gross Primary Productivity/Gross Primary Production; Gross Primary Production; Green Public Procurement"
"SR1.5; WGIII","GPT","General Purpose Technologies; general-purpose technologies"
"SR1.5","GRAPE","Global Relationship Assessment to Protect the Environment model"
"SR1.5; WGI; WGII; WGIII","GSAT","Global mean Surface Air Temperature; global surface air temperature; Global Surface Air Temperature"
"SR1.5; SYR; WGIII","Gt","Gigatonne; Gigatonnes; gigatonne"
"SR1.5; WGI; WGIII","GTP","Global Temperature-change Potential; global temperature change potential"
"SR1.5","GWA","Government of Western Australia"
"SR1.5; SRCCL; SROCC; WGI; WGII; WGIII","GWP","Global Warming Potential or Gross World Product; Global Warming Potential; global warming potential"
"SR1.5; SRCCL","ha","Hectares"
"SR1.5; SRCCL","H2","Hydrogen"
"SR1.5","HadCM","Hadley Centre Coupled Model"
"SR1.5; WGI","HadCRUT","Hadley Centre Climatic Research Unit Gridded Surface Temperature Data Set; Hadley Centre Climatic Research Unit gridded surface temperature dataset"
"SR1.5","HadEX","Hadley Centre Global Climate Extremes index"
"SR1.5; WGI","HadGEM","Hadley Centre Global Environmental Model; Hadley Centre Global Environment Model"
"SR1.5","HadRM","Hadley Centre Regional Model"
"SR1.5; SRCCL","HAPPI","Half a degree Additional warming, Prognosis and Projected Impacts; Half a degree Additional warming, Projections, Prognosis and Impacts"
"SR1.5; WGIII","HDV","Heavy-Duty Vehicle; Heavy-duty vehicles"
"SR1.5; WGIII","HEV","Hybrid Electric Vehicle; hybrid electric vehicle"
"SR1.5; SYR","HFCs","Hydrofluorocarbons"
"SR1.5","HLCCP","High-Level Commission on Carbon Prices"
"SR1.5; SRCCL","HLPE","High Level Panel of Experts on Food Security and Nutrition; High Level Panel of Experts"
"SR1.5","HSRTF","Hurricane Sandy Rebuilding Task Force"
"SR1.5","HTM","Holocene Thermal Maximum"
"SR1.5","HYMOD","HYdrological MODel"
"SR1.5; SROCC","IAEA","International Atomic Energy Agency"
"SR1.5","IAMC","Integrated Assessment Modelling Consortium"
"SR1.5","IAMs","Integrated Assessment Models"
"SR1.5","IBA","International Bar Association"
"SR1.5","IBI","International Biochar Initiative"
"SR1.5","ICAMS","Integrated Climate and Air Quality Modeling System"
"SR1.5","ICEM","International Centre for Environmental Management"
"SR1.5; WGII","ICLEI","International Council for Local Environmental Initiatives; Local Governments for Sustainability"
"SR1.5","ICPDR","International Commission for the Protection of the Danube River"
"SR1.5; SRCCL","ICSU","International Council for Science"
"SR1.5; SRCCL; WGII; WGIII","ICT","Information and Communication Technology; Information and Communications Technology; information and communication technology"
"SR1.5; SRCCL; SYR; WGII; WGIII","IEA","International Energy Agency"
"SR1.5","IEAGHG","IEA Greenhouse Gas R&D Programme"
"SR1.5; SRCCL","IFAD","International Fund for Agricultural Development"
"SR1.5; SRCCL; WGII","IFPRI","International Food Policy Research Institute"
"SR1.5; WGII; WGIII","IGCC","Integrated Gasification Combined Cycle; Investor Group on Climate Change; International Green Construction Code"
"SR1.5; WGIII","IIASA","International Institute for Applied Systems Analysis"
"SR1.5","IIF","Institute of International Finance"
"SR1.5; SRCCL; WGII","iLUC","Indirect Land-Use Change; indirect Land Use Change"
"SR1.5","IMACLIM-NLU","IMpact Assessment of CLIMate policies model – Nexus Land-Use model"
"SR1.5; SRCCL","IMAGE","Integrated Model to Assess the Global Environment; Integrated Model to Assess Global Environment"
"SR1.5; WGII; WGIII","IMF","International Monetary Fund"
"SR1.5; SROCC; WGIII","IMO","International Maritime Organization"
"SR1.5","IMPACT2C","Quantifying Projected Impacts under 2°C Warming"
"SR1.5","INDCs","Intended Nationally Determined Contributions"
"SR1.5","INM","Russian Institute for Numerical Mathematics"
"SR1.5","IOM","International Organization for Migration"
"SR1.5; WGII; WGIII","IoT","Internet of Things; internet of things"
"SR1.5; SRCCL; SYR; WGI; WGII; WGIII","IPCC","Intergovernmental Panel on Climate Change"
"SR1.5; WGI","IPSL","Institute Pierre Simon Laplace; Institut Pierre-Simon Laplace"
"SR1.5; WGIII","IRENA","International Renewable Energy Agency"
"SR1.5; WGI; WGII","ISIMIP","Inter-Sectoral Impact Model Intercomparison Project; Inter-Sectoral Impacts Model Intercomparison Project"
"SR1.5; SRCCL; WGII","ISO","International Standards Organisation; International Organization for Standardization"
"SR1.5","ISSC","International Social Science Council"
"SR1.5; SROCC; WGI; WGIII","ITF","International Transport Forum; Indonesia Throughflow; Indonesian throughflow"
"SR1.5; SRCCL; WGII","IUCN","International Union for Conservation of Nature; International Union for the Conservation of Nature"
"SR1.5","IWG","Interagency Working Group on Social Cost of Greenhouse Gases"
"SR1.5; SROCC; WGII","IWRM","Integrated Water Resources Management; Integrated Water Resource Management"
"SR1.5","JeDi","Jena Diversity-Dynamic Global Vegetation Model"
"SR1.5; SRCCL; SROCC; WGI","JJA","June, July, August; June-July-August; June–July–August"
"SR1.5; WGI","JMA","Japan Meteorological Agency"
"SR1.5; WGI","JRA-55","Japanese 55-year Reanalysis"
"SR1.5; WGII; WGIII","JRC","European Commission – Joint Research Centre; Joint Research Centre; GECO Joint Research Centre – Global Energy and Climate Outlook"
"SR1.5","JULES","Joint United Kingdom Land Environment Simulator"
"SR1.5","kcal cap-1 day-1","Kilocalories per capita per day"
"SR1.5; SRCCL","km","Kilometres"
"SR1.5; SRCCL","kt","Kilotonnes"
"SR1.5; SRCCL; SYR; WGIII","kWh","Kilowatt hours; Kilowatt hour; kilowatt hour"
"SR1.5","KNMI","Koninklijk Nederlands Meteorologisch Instituut (Royal Netherlands Meteorological Institute)"
"SR1.5; SRCCL","L","Litres"
"SR1.5; SROCC; WGII","L&D","Loss and Damage; Losses and Damages"
"SR1.5; WGIII","LAM","Latin America and Caribbean; Latin America and the Caribbean"
"SR1.5; WGIII","LDCs","Least Developed Countries; Least-Developed Countries"
"SR1.5","LDMz-INCA","Laboratoire de Météorologie Dynamique – INteractions between Chemistry and Aerosols"
"SR1.5; WGIII","LDV","Light-Duty Vehicle; light-duty vehicle"
"SR1.5","LE","Limited Evidence"
"SR1.5; SRCCL; WGIII","LED","Low Energy Demand or Light Emitting Diode; Low Energy Demand; light-emitting diode"
"SR1.5; SROCC; WGI","LGM","Last Glacial Maximum"
"SR1.5; SROCC; WGI; WGII","LIG","Last Interglacial"
"SR1.5","LLCFs","Long-Lived Climate Forcers"
"SR1.5; WGIII","LNG","Liquefied Natural Gas; liquefied natural gas"
"SR1.5; SRCCL; WGIII","LPG","Liquefied Petroleum Gas; Liquified Petroleum Gas; liquefied petroleum gas"
"SR1.5","LPJmL","Lund-Potsdam-Jena managed Land model"
"SR1.5","LTA","Land Transport Authority of Singapore"
"SR1.5; WGIII","LTGG","Long-Term Global Goal; long-term global goal (to hold the increase in the global average temperature to well below 2°C above pre-industrial levels and to pursue efforts to limit the temperature increase to 1.5°C above pre-industrial levels)"
"SR1.5; SRCCL; SROCC; WGI; WGII","LUC","Land-Use Change; Land Use Change; land-use change"
"SR1.5; SRCCL; SYR; WGI; WGII; WGIII","LULUCF","Land Use, Land-Use Change, and Forestry; Land Use, Land Use Change and Forestry; Land Use, Land-Use Change and Forestry; land use, land-use change and forestry"
"SR1.5","m","Metres"
"SR1.5","m3 cap-1 yr-1","Cubic metres per capita per year"
"SR1.5","mg","Milligrams"
"SR1.5","mL","Millilitres"
"SR1.5","mm","Millimetres"
"SR1.5; SROCC","M&E","Monitoring and Evaluation"
"SR1.5; SRCCL; WGIII","Ma","Million years ago; Millennium Ecosystem Assessment; Mitigation Alliance"
"SR1.5; SRCCL; WGIII","MAC","Marginal Abatement Cost; marginal abatement cost"
"SR1.5","MacPDM","Macro-scale – Probability-Distributed Moisture Model"
"SR1.5; SYR; WGI","MAGICC","Model for the Assessment of Greenhouse Gas Induced Climate Change"
"SR1.5; SRCCL","MAgPIE","Model of Agricultural Production and its Impact on the Environment"
"SR1.5; SRCCL; WGI","MAM","March, April, May; March-April-May; March–April–May"
"SR1.5; WGI; WGII; WGIII","MCB","Marine Cloud Brightening; marine cloud brightening"
"SR1.5","MCCA","Mercado Común Centroamericano"
"SR1.5; WGII; WGIII","MDB","Group of Multilateral Development Banks; Multi-Lateral Development Bank / Murray–Darling Basin; multilateral development bank"
"SR1.5","MDGs","Millennium Development Goals"
"SR1.5; SRCCL; WGII; WGIII","MEA","Millennium Ecosystem Assessment; multilateral environmental agreement"
"SR1.5; SRCCL; WGI; WGII","MED","South Europe/Mediterranean; Middle Eastern Dust Storms; Mediterranean"
"SR1.5","MEPS","Minimum Energy Performance Standards"
"SR1.5","MER","Market Exchange Rates"
"SR1.5","MERET","Managing Environmental Resources to Enable Transitions"
"SR1.5","MERGE-ETL","Model for Evaluating Regional and Global Effects of greenhouse gas reduction policies – Endogenous Technology Learning"
"SR1.5; SRCCL","MESSAGE","Model for Energy Supply Systems And their General Environmental impact"
"SR1.5; SRCCL; WGIII","Mha","Megahectare; million hectares"
"SR1.5; WGI","MIROC","Model for Interdisciplinary Research on Climate"
"SR1.5; SROCC; WGI; WGII","MISI","Marine Ice Sheet Instability; marine ice sheet instability"
"SR1.5","MIT IGSM","Massachusetts Institute of Technology Integrated Global System Model"
"SR1.5; SRCCL; WGIII","MJ","Megajoules; megajoule"
"SR1.5","MoCC","Ministry of Climate Change and Adaptation (Government of Vanuatu)"
"SR1.5","MOHC","Met Office Hadley Centre"
"SR1.5","MOPEX","Model Parameter Estimation Experiment"
"SR1.5","MPAs","Marine Protected Areas"
